track,artist,date,est_time,ist_time,iso_time
Not Like Us,Kendrick Lamar,2024-11-29,2024-11-29 11:21:44.712000-05:00,2024-11-29 21:51:44.712000+05:30,2024-11-29T16:21:44.712Z
Bags - Recorded At Electric Lady Studios,Clairo,2024-11-29,2024-11-29 11:28:06.623000-05:00,2024-11-29 21:58:06.623000+05:30,2024-11-29T16:28:06.623Z
Slow Motion,Matt Champion,2024-11-29,2024-11-29 12:35:09.911000-05:00,2024-11-29 23:05:09.911000+05:30,2024-11-29T17:35:09.911Z
cologne,Isaac Dunbar,2024-11-29,2024-11-29 14:28:45.049000-05:00,2024-11-30 00:58:45.049000+05:30,2024-11-29T19:28:45.049Z
blonde,Isaac Dunbar,2024-11-29,2024-11-29 14:31:11.612000-05:00,2024-11-30 01:01:11.612000+05:30,2024-11-29T19:31:11.612Z
makeup drawer,Isaac Dunbar,2024-11-29,2024-11-29 14:34:15.036000-05:00,2024-11-30 01:04:15.036000+05:30,2024-11-29T19:34:15.036Z
pharmacy,Isaac Dunbar,2024-11-29,2024-11-29 14:37:51.386000-05:00,2024-11-30 01:07:51.386000+05:30,2024-11-29T19:37:51.386Z
Bitter,FLETCHER,2024-11-29,2024-11-29 14:46:41.178000-05:00,2024-11-30 01:16:41.178000+05:30,2024-11-29T19:46:41.178Z
FAKE LOVE,BTS,2024-11-29,2024-11-29 14:50:43.943000-05:00,2024-11-30 01:20:43.943000+05:30,2024-11-29T19:50:43.943Z
Ignite - 2016 League Of Legends World Championship,Zedd,2024-11-29,2024-11-29 18:15:22.052000-05:00,2024-11-30 04:45:22.052000+05:30,2024-11-29T23:15:22.052Z
Warriors,Imagine Dragons,2024-11-29,2024-11-29 18:18:12.600000-05:00,2024-11-30 04:48:12.600000+05:30,2024-11-29T23:18:12.600Z
Still Here,League of Legends,2024-11-29,2024-11-29 18:22:25.560000-05:00,2024-11-30 04:52:25.560000+05:30,2024-11-29T23:22:25.560Z
Phoenix,League of Legends,2024-11-29,2024-11-29 18:25:43.680000-05:00,2024-11-30 04:55:43.680000+05:30,2024-11-29T23:25:43.680Z
GODS,League of Legends,2024-11-30,2024-11-29 19:15:21.055000-05:00,2024-11-30 05:45:21.055000+05:30,2024-11-30T00:15:21.055Z
CARNIVAL,¥$,2024-11-30,2024-11-29 19:19:55.023000-05:00,2024-11-30 05:49:55.023000+05:30,2024-11-30T00:19:55.023Z
if u think i'm pretty,Artemas,2024-11-30,2024-11-29 19:22:03.700000-05:00,2024-11-30 05:52:03.700000+05:30,2024-11-30T00:22:03.700Z
Carnival x Fein,offtopic,2024-11-30,2024-11-29 19:24:24.900000-05:00,2024-11-30 05:54:24.900000+05:30,2024-11-30T00:24:24.900Z
Main Titles,Ramin Djawadi,2024-11-30,2024-11-29 19:31:37.622000-05:00,2024-11-30 06:01:37.622000+05:30,2024-11-30T00:31:37.622Z
Idea 10,Gibran Alcocer,2024-11-30,2024-11-29 19:33:46.153000-05:00,2024-11-30 06:03:46.153000+05:30,2024-11-30T00:33:46.153Z
Light of the Seven,Ramin Djawadi,2024-11-30,2024-11-29 19:43:35.816000-05:00,2024-11-30 06:13:35.816000+05:30,2024-11-30T00:43:35.816Z
ICARUS,Tony Ann,2024-11-30,2024-11-29 19:46:55.735000-05:00,2024-11-30 06:16:55.735000+05:30,2024-11-30T00:46:55.735Z
