track,artist,date,est_time,ist_time,iso_time,genre,length_ms
Hold Me Back,HEIZE,2024-11-21,2024-11-21 13:25:48.780000-05:00,2024-11-21 23:55:48.780000+05:30,2024-11-21T18:25:48.780Z,"k-pop, korean pop, korean r&b",232.026
Love You With All My Heart,Crush,2024-11-21,2024-11-21 13:29:52.986000-05:00,2024-11-21 23:59:52.986000+05:30,2024-11-21T18:29:52.986Z,"k-pop, korean r&b",244.186
Wedding Dress,TAEYANG,2024-11-21,2024-11-21 13:33:56.226000-05:00,2024-11-22 00:03:56.226000+05:30,2024-11-21T18:33:56.226Z,"k-pop, korean r&b",242.746
Fall Down,Safira.K,2024-11-21,2024-11-21 14:13:17.670000-05:00,2024-11-22 00:43:17.670000+05:30,2024-11-21T19:13:17.670Z,korean ost,251.364
Rockstar,LISA,2024-11-22,2024-11-22 12:20:01.013000-05:00,2024-11-22 22:50:01.013000+05:30,2024-11-22T17:20:01.013Z,k-pop,138.213
Rock with you,SEVENTEEN,2024-11-22,2024-11-22 12:23:01.851000-05:00,2024-11-22 22:53:01.851000+05:30,2024-11-22T17:23:01.851Z,"k-pop, k-pop boy group",180.36
해야 (HEYA),IVE,2024-11-22,2024-11-22 12:26:12.064000-05:00,2024-11-22 22:56:12.064000+05:30,2024-11-22T17:26:12.064Z,k-pop girl group,189.68
Heat Waves,Glass Animals,2024-11-23,2024-11-22 22:49:11.318000-05:00,2024-11-23 09:19:11.318000+05:30,2024-11-23T03:49:11.318Z,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",238.805
nite swim,Luna Shadows,2024-11-23,2024-11-22 22:52:30.778000-05:00,2024-11-23 09:22:30.778000+05:30,2024-11-23T03:52:30.778Z,"alt z, indie poptimism",199.024
In The Night,Fly By Midnight,2024-11-23,2024-11-22 22:55:57.289000-05:00,2024-11-23 09:25:57.289000+05:30,2024-11-23T03:55:57.289Z,singer-songwriter pop,206.0
ride or die,XYLØ,2024-11-23,2024-11-22 23:50:57.969000-05:00,2024-11-23 10:20:57.969000+05:30,2024-11-23T04:50:57.969Z,"alt z, indie poptimism, la pop",165.517
Legends Never Die,League of Legends,2024-11-23,2024-11-23 17:00:04.644000-05:00,2024-11-24 03:30:04.644000+05:30,2024-11-23T22:00:04.644Z,"speedrun, video game music",235.0
2016 World Championship Theme,League of Legends,2024-11-23,2024-11-23 17:05:08.585000-05:00,2024-11-24 03:35:08.585000+05:30,2024-11-23T22:05:08.585Z,"speedrun, video game music",195.796
Heavy Is the Crown,Linkin Park,2024-11-23,2024-11-23 17:07:57.923000-05:00,2024-11-24 03:37:57.923000+05:30,2024-11-23T22:07:57.923Z,"alternative metal, nu metal, post-grunge, rap metal, rock",167.012
Kabira (Encore),Pritam,2024-11-23,2024-11-23 17:24:43.151000-05:00,2024-11-24 03:54:43.151000+05:30,2024-11-23T22:24:43.151Z,"filmi, indian instrumental, modern bollywood",270.438
Baarish Ka Asar,Twin Strings,2024-11-23,2024-11-23 17:28:49.132000-05:00,2024-11-24 03:58:49.132000+05:30,2024-11-23T22:28:49.132Z,"desi pop, indian indie",245.5
Choo Lo,The Local Train,2024-11-23,2024-11-23 17:32:50.701000-05:00,2024-11-24 04:02:50.701000+05:30,2024-11-23T22:32:50.701Z,"hindi indie, indian indie, indian rock, new delhi indie",233.63
Hello,Sohyang,2024-11-24,2024-11-23 22:51:39.411000-05:00,2024-11-24 09:21:39.411000+05:30,2024-11-24T03:51:39.411Z,"korean ost, korean pop",244.213
The Only One,SOYOU,2024-11-24,2024-11-23 23:48:46.847000-05:00,2024-11-24 10:18:46.847000+05:30,2024-11-24T04:48:46.847Z,k-pop,242.826
