track,artist,date,est_time,ist_time,iso_time,genre,length_ms
Happy Song,MeloMance,2025-01-07,2025-01-07 00:05:38.458000-05:00,2025-01-07 10:35:38.458000+05:30,2025-01-07T05:05:38.458Z,"k-pop, korean pop",237.03
우리의 밤,Sondia,2025-01-07,2025-01-07 00:10:22.611000-05:00,2025-01-07 10:40:22.611000+05:30,2025-01-07T05:10:22.611Z,"korean ost, korean pop",283.666
The Color Violet,Tory Lanez,2025-01-07,2025-01-07 00:14:09.601000-05:00,2025-01-07 10:44:09.601000+05:30,2025-01-07T05:14:09.601Z,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",226.466
"Very, Slowly",BIBI,2025-01-07,2025-01-07 00:20:21.298000-05:00,2025-01-07 10:50:21.298000+05:30,2025-01-07T05:20:21.298Z,"k-pop, korean r&b",214.851
With you,"Jimin, HA SUNG WOON",2025-01-07,2025-01-07 00:23:43.709000-05:00,2025-01-07 10:53:43.709000+05:30,2025-01-07T05:23:43.709Z,k-pop,201.905
FORTUNA,Lexie Liu,2025-01-07,2025-01-07 00:49:21.261000-05:00,2025-01-07 11:19:21.261000+05:30,2025-01-07T05:49:21.261Z,chinese electropop,182.36
Let Her Go,Passenger,2025-01-07,2025-01-07 00:53:34.549000-05:00,2025-01-07 11:23:34.549000+05:30,2025-01-07T05:53:34.549Z,"folk-pop, neo mellow",252.733
Youth,Glass Animals,2025-01-07,2025-01-07 00:57:25.716000-05:00,2025-01-07 11:27:25.716000+05:30,2025-01-07T05:57:25.716Z,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",230.693
"스물다섯, 스물하나",JAURIM,2025-01-07,2025-01-07 01:02:10.923000-05:00,2025-01-07 11:32:10.923000+05:30,2025-01-07T06:02:10.923Z,"k-indie, k-rock",284.72
Can You Hear My Heart,"Epik High, LeeHi",2025-01-07,2025-01-07 01:07:29.604000-05:00,2025-01-07 11:37:29.604000+05:30,2025-01-07T06:07:29.604Z,"k-pop, k-rap, korean old school hip hop",248.143
This is Mine,LEE SEUNG YOON,2025-01-07,2025-01-07 01:10:50.400000-05:00,2025-01-07 11:40:50.400000+05:30,2025-01-07T06:10:50.400Z,korean singer-songwriter,200.307
사랑해요,김형섭,2025-01-07,2025-01-07 01:14:09.255000-05:00,2025-01-07 11:44:09.255000+05:30,2025-01-07T06:14:09.255Z,,198.321
I am firefly,Kim Ho Jeong,2025-01-07,2025-01-07 01:17:50.353000-05:00,2025-01-07 11:47:50.353000+05:30,2025-01-07T06:17:50.353Z,korean,220.613
시간의 상처,Kim So Yeon,2025-01-07,2025-01-07 01:22:28.339000-05:00,2025-01-07 11:52:28.339000+05:30,2025-01-07T06:22:28.339Z,,277.502
To Heaven,Jukjae,2025-01-07,2025-01-07 01:25:45.844000-05:00,2025-01-07 11:55:45.844000+05:30,2025-01-07T06:25:45.844Z,korean pop,197.0
My Love,LeeHi,2025-01-07,2025-01-07 01:29:35.360000-05:00,2025-01-07 11:59:35.360000+05:30,2025-01-07T06:29:35.360Z,k-pop,220.929
Wind,Jung Seung Hwan,2025-01-07,2025-01-07 01:32:32.457000-05:00,2025-01-07 12:02:32.457000+05:30,2025-01-07T06:32:32.457Z,korean pop,217.989
Wind,Jung Seung Hwan,2025-01-09,2025-01-09 17:54:46.052000-05:00,2025-01-10 04:24:46.052000+05:30,2025-01-09T22:54:46.052Z,korean pop,217.989
Will Be Back,Sunhae Im,2025-01-09,2025-01-09 17:58:12.497000-05:00,2025-01-10 04:28:12.497000+05:30,2025-01-09T22:58:12.497Z,"classical soprano, korean classical performance",205.946
Can You Hear My Heart,"Epik High, LeeHi",2025-01-09,2025-01-09 18:02:21.136000-05:00,2025-01-10 04:32:21.136000+05:30,2025-01-09T23:02:21.136Z,"k-pop, k-rap, korean old school hip hop",248.143
This is Mine,LEE SEUNG YOON,2025-01-09,2025-01-09 18:05:41.944000-05:00,2025-01-10 04:35:41.944000+05:30,2025-01-09T23:05:41.944Z,korean singer-songwriter,200.307
사랑해요,김형섭,2025-01-09,2025-01-09 18:09:00.763000-05:00,2025-01-10 04:39:00.763000+05:30,2025-01-09T23:09:00.763Z,,198.321
Bags,Clairo,2025-01-09,2025-01-09 18:16:17.612000-05:00,2025-01-10 04:46:17.612000+05:30,2025-01-09T23:16:17.612Z,"bedroom pop, indie pop, pov: indie",260.519
What Have They Done To Us (from the series Arcane League of Legends),"Arcane, Mako, Grey",2025-01-09,2025-01-09 18:18:17.283000-05:00,2025-01-10 04:48:17.283000+05:30,2025-01-09T23:18:17.283Z,,119.16
ABCD,NAYEON,2025-01-09,2025-01-09 18:21:00.630000-05:00,2025-01-10 04:51:00.630000+05:30,2025-01-09T23:21:00.630Z,k-pop,162.84
Close To You,Gracie Abrams,2025-01-09,2025-01-09 18:24:33.933000-05:00,2025-01-10 04:54:33.933000+05:30,2025-01-09T23:24:33.933Z,alt z,225.973
Phoenix,"League of Legends, Cailin Russo, Chrissy Costanza",2025-01-12,2025-01-12 00:26:41.435000-05:00,2025-01-12 10:56:41.435000+05:30,2025-01-12T05:26:41.435Z,,197.633
GODS,"League of Legends, NewJeans",2025-01-12,2025-01-12 00:30:22.807000-05:00,2025-01-12 11:00:22.807000+05:30,2025-01-12T05:30:22.807Z,,220.878
What Have They Done To Us (from the series Arcane League of Legends),"Arcane, Mako, Grey",2025-01-12,2025-01-12 00:32:22.465000-05:00,2025-01-12 11:02:22.465000+05:30,2025-01-12T05:32:22.465Z,,119.16
Still Here,"League of Legends, Forts, 2WEI, Tiffany Aris",2025-01-12,2025-01-12 00:36:35.434000-05:00,2025-01-12 11:06:35.434000+05:30,2025-01-12T05:36:35.434Z,,252.453
Warriors,Imagine Dragons,2025-01-12,2025-01-12 00:39:26.005000-05:00,2025-01-12 11:09:26.005000+05:30,2025-01-12T05:39:26.005Z,"modern rock, pop, rock",171.04
RISE,"League of Legends, Mako, The Word Alive, The Glitch Mob",2025-01-12,2025-01-12 00:42:39.377000-05:00,2025-01-12 11:12:39.377000+05:30,2025-01-12T05:42:39.377Z,"speedrun, video game music",192.881
2016 World Championship Theme,League of Legends,2025-01-12,2025-01-12 00:45:55.670000-05:00,2025-01-12 11:15:55.670000+05:30,2025-01-12T05:45:55.670Z,"speedrun, video game music",195.796
Legends Never Die,"League of Legends, Against The Current",2025-01-12,2025-01-12 00:49:51.162000-05:00,2025-01-12 11:19:51.162000+05:30,2025-01-12T05:49:51.162Z,,235.0
What Have They Done To Us (from the series Arcane League of Legends),"Arcane, Mako, Grey",2025-01-12,2025-01-12 04:05:21.299000-05:00,2025-01-12 14:35:21.299000+05:30,2025-01-12T09:05:21.299Z,,119.16
That’s So True,Gracie Abrams,2025-01-13,2025-01-13 02:43:26.706000-05:00,2025-01-13 13:13:26.706000+05:30,2025-01-13T07:43:26.706Z,alt z,166.3
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",2025-01-13,2025-01-13 02:45:55.236000-05:00,2025-01-13 13:15:55.236000+05:30,2025-01-13T07:45:55.236Z,,147.973
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",2025-01-13,2025-01-13 03:23:18.705000-05:00,2025-01-13 13:53:18.705000+05:30,2025-01-13T08:23:18.705Z,"soft pop, pop",217.706
